country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-06-2026 02:00:00",28.570173,76.933762,NH3,4,7,5
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-06-2026 02:00:00",28.699793,77.165453,PM2.5,59,187,99
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-06-2026 02:00:00",28.699793,77.165453,NH3,6,9,7
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-06-2026 02:00:00",28.6514781,77.1473105,NO2,32,70,50
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-06-2026 02:00:00",28.6514781,77.1473105,SO2,2,19,6
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-06-2026 02:00:00",28.6514781,77.1473105,CO,34,83,58
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-06-2026 02:00:00",21.237755,81.705301,CO,12,20,15
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","28-06-2026 02:00:00",22.06631475,83.33820077,OZONE,27,27,27
India,Delhi,Delhi,"Pusa, Delhi - IITM","28-06-2026 02:00:00",28.63611,77.173332,PM10,61,193,141
India,Delhi,Delhi,"Pusa, Delhi - IITM","28-06-2026 02:00:00",28.63611,77.173332,NO2,3,182,52
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","28-06-2026 02:00:00",28.493624,77.201159,PM10,63,225,101
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","28-06-2026 02:00:00",28.493624,77.201159,OZONE,16,79,30
India,Delhi,Delhi,"JNU, Delhi - DPCC","28-06-2026 02:00:00",28.540721,77.168544,SO2,1,6,3
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-06-2026 02:00:00",28.815329,77.15301,PM10,94,235,154
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-06-2026 02:00:00",28.815329,77.15301,NO2,1,22,10
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-06-2026 02:00:00",28.815329,77.15301,OZONE,8,30,15
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-06-2026 02:00:00",28.822836,77.101981,NH3,8,15,11
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-06-2026 02:00:00",28.822836,77.101981,OZONE,5,5,5
