system:index,tropospheric_HCHO_column_number_density,.geo
71,1.539156721402918E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,9.656889304284856]}"
72,1.5882047956732972E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,9.656889304284856]}"
73,1.5535104485714656E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,9.746720832696807]}"
74,1.6386316806381586E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,9.83655236110876]}"
75,1.676255681103448E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,9.83655236110876]}"
76,1.7344785530193905E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,9.83655236110876]}"
77,1.4300908894137294E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,9.83655236110876]}"
78,1.3056893048406617E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09666076672387,9.83655236110876]}"
79,2.3248952092642797E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,9.926383889520713]}"
80,2.3391692570346937E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,9.926383889520713]}"
81,1.8921268703659097E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,9.926383889520713]}"
82,2.2502286339602876E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,10.016215417932665]}"
83,2.4013828741103972E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,10.016215417932665]}"
84,2.299590401983082E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,10.016215417932665]}"
85,1.7758710469941477E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,10.016215417932665]}"
86,2.240002535857464E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,10.106046946344616]}"
87,2.0457028579319846E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,10.106046946344616]}"
88,1.905019268599038E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,10.106046946344616]}"
89,1.1882164265597618E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,10.106046946344616]}"
90,1.1474244695332084E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,10.106046946344616]}"
91,1.6351879402402055E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,10.106046946344616]}"
92,1.5375412350436668E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,10.106046946344616]}"
